,curbramps,marked,st_pkey,street_name,geometry
177,0,0,11955,NEWTON ST,"LINESTRING (-122.3555118089314 47.63662247803122, -122.3555134276733 47.63651004018625)"
178,0,0,1047,1ST AVE N,"LINESTRING (-122.3555032142757 47.63708886394686, -122.3557138038461 47.63709063660332)"
179,1,0,1048,1ST AVE N,"LINESTRING (-122.355704060871 47.63723311647483, -122.3554995881874 47.63723028767733)"
180,1,0,9861,CROCKETT ST,"LINESTRING (-122.3557138038461 47.63709063660332, -122.355704060871 47.63723311647483)"
181,1,0,1048,1ST AVE N,"LINESTRING (-122.3554956734091 47.63735954526623, -122.3557026030362 47.63736062621884)"
182,1,0,1049,1ST AVE N,"LINESTRING (-122.3557012172317 47.63747322847094, -122.3554942891854 47.6374719836115)"
183,1,0,9862,CROCKETT ST,"LINESTRING (-122.3554942891854 47.6374719836115, -122.3554956734091 47.63735954526623)"
184,0,0,1049,1ST AVE N,"LINESTRING (-122.3554848012505 47.63819232217726, -122.3556906745138 47.63827388847113)"
185,0,0,1050,1ST AVE N,"LINESTRING (-122.3556969453681 47.63844970001767, -122.3554746399274 47.63835854821192)"
186,0,0,9335,BOSTON ST,"LINESTRING (-122.3556906745138 47.63827388847113, -122.3556969453681 47.63844970001767)"
187,0,0,9336,BOSTON ST,"LINESTRING (-122.3554746399274 47.63835854821192, -122.3554848012505 47.63819232217726)"
188,0,0,1050,1ST AVE N,"LINESTRING (-122.3554679488509 47.63905963453282, -122.3556911174985 47.63906060724992)"
189,0,0,1051,1ST AVE N,"LINESTRING (-122.3556899338172 47.63917319143857, -122.355479897978 47.6391720903086)"
190,0,0,11473,LYNN ST,"LINESTRING (-122.355479897978 47.6391720903086, -122.3554679488509 47.63905963453282)"
191,0,0,1051,1ST AVE N,"LINESTRING (-122.3554817220207 47.63950663109302, -122.3556861133663 47.63950612186706)"
192,0,0,1052,1ST AVE N,"LINESTRING (-122.3556561765118 47.63967065454019, -122.3554837724066 47.63967225083216)"
193,0,0,11727,MCGRAW ST,"LINESTRING (-122.3556861133663 47.63950612186706, -122.3556561765118 47.63967065454019)"
194,0,0,1052,1ST AVE N,"LINESTRING (-122.3554882939494 47.63989533032198, -122.355654660454 47.63989584205464)"
195,0,0,1053,1ST AVE N,"LINESTRING (-122.355653903143 47.64000828196102, -122.3554875362842 47.64000776980897)"
196,0,0,11728,MCGRAW ST,"LINESTRING (-122.3554875362842 47.64000776980897, -122.3554882939494 47.63989533032198)"
197,0,0,1053,1ST AVE N,"LINESTRING (-122.355478336417 47.64137243298266, -122.3556446854182 47.64137623810164)"
198,0,0,1054,1ST AVE N,"LINESTRING (-122.3556738317462 47.64149961321915, -122.3554693602956 47.64149841067253)"
199,0,0,12842,SMITH ST,"LINESTRING (-122.3556446854182 47.64137623810164, -122.3556738317462 47.64149961321915)"
200,0,0,12843,SMITH ST,"LINESTRING (-122.3554693602956 47.64149841067253, -122.355478336417 47.64137243298266)"
201,0,0,1054,1ST AVE N,"LINESTRING (-122.3554673303641 47.64179197676023, -122.3556603139256 47.64179599708444)"
202,0,0,1055,1ST AVE N,"LINESTRING (-122.3556565078089 47.64191543793121, -122.3554746156553 47.64191390920364)"
203,0,0,12325,QUEEN ANNE DR,"LINESTRING (-122.3554746156553 47.64191390920364, -122.3554673303641 47.64179197676023)"
204,0,0,1055,1ST AVE N,"LINESTRING (-122.3554660872927 47.6431859844324, -122.355633130176 47.64318594826167)"
205,1,0,1056,1ST AVE N,"LINESTRING (-122.3556317066713 47.64329839062312, -122.3554679387522 47.64329842656684)"
206,0,0,12487,RAYE ST,"LINESTRING (-122.355633130176 47.64318594826167, -122.3556317066713 47.64329839062312)"
